GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADKWE001,NAME_M,ADKWM001
"G44000100304001","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304001",,,"Block Group 1, Census Tract 304, Bristol County, Rhode Island",1045,"Block Group 1, Census Tract 304, Bristol County, Rhode Island",189
"G44000100304002","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304002",,,"Block Group 2, Census Tract 304, Bristol County, Rhode Island",1681,"Block Group 2, Census Tract 304, Bristol County, Rhode Island",211
"G44000100304003","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304003",,,"Block Group 3, Census Tract 304, Bristol County, Rhode Island",1288,"Block Group 3, Census Tract 304, Bristol County, Rhode Island",165
"G44000100305001","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305001",,,"Block Group 1, Census Tract 305, Bristol County, Rhode Island",899,"Block Group 1, Census Tract 305, Bristol County, Rhode Island",248
"G44000100305002","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305002",,,"Block Group 2, Census Tract 305, Bristol County, Rhode Island",1149,"Block Group 2, Census Tract 305, Bristol County, Rhode Island",237
"G44000100305003","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305003",,,"Block Group 3, Census Tract 305, Bristol County, Rhode Island",1127,"Block Group 3, Census Tract 305, Bristol County, Rhode Island",185
"G44000100306011","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306011",,,"Block Group 1, Census Tract 306.01, Bristol County, Rhode Island",1113,"Block Group 1, Census Tract 306.01, Bristol County, Rhode Island",275
"G44000100306012","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306012",,,"Block Group 2, Census Tract 306.01, Bristol County, Rhode Island",1405,"Block Group 2, Census Tract 306.01, Bristol County, Rhode Island",213
"G44000100306013","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306013",,,"Block Group 3, Census Tract 306.01, Bristol County, Rhode Island",986,"Block Group 3, Census Tract 306.01, Bristol County, Rhode Island",184
"G44000100306021","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306021",,,"Block Group 1, Census Tract 306.02, Bristol County, Rhode Island",1203,"Block Group 1, Census Tract 306.02, Bristol County, Rhode Island",266
"G44000100306022","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306022",,,"Block Group 2, Census Tract 306.02, Bristol County, Rhode Island",862,"Block Group 2, Census Tract 306.02, Bristol County, Rhode Island",195
"G44000100306023","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306023",,,"Block Group 3, Census Tract 306.02, Bristol County, Rhode Island",1266,"Block Group 3, Census Tract 306.02, Bristol County, Rhode Island",252
"G44000100306024","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306024",,,"Block Group 4, Census Tract 306.02, Bristol County, Rhode Island",522,"Block Group 4, Census Tract 306.02, Bristol County, Rhode Island",139
"G44000100307001","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307001",,,"Block Group 1, Census Tract 307, Bristol County, Rhode Island",1015,"Block Group 1, Census Tract 307, Bristol County, Rhode Island",326
"G44000100307002","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307002",,,"Block Group 2, Census Tract 307, Bristol County, Rhode Island",842,"Block Group 2, Census Tract 307, Bristol County, Rhode Island",298
"G44000100307003","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307003",,,"Block Group 3, Census Tract 307, Bristol County, Rhode Island",535,"Block Group 3, Census Tract 307, Bristol County, Rhode Island",164
"G44000100307004","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307004",,,"Block Group 4, Census Tract 307, Bristol County, Rhode Island",1574,"Block Group 4, Census Tract 307, Bristol County, Rhode Island",299
"G44000100308001","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308001",,,"Block Group 1, Census Tract 308, Bristol County, Rhode Island",1119,"Block Group 1, Census Tract 308, Bristol County, Rhode Island",279
"G44000100308002","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308002",,,"Block Group 2, Census Tract 308, Bristol County, Rhode Island",1330,"Block Group 2, Census Tract 308, Bristol County, Rhode Island",223
"G44000100308003","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308003",,,"Block Group 3, Census Tract 308, Bristol County, Rhode Island",798,"Block Group 3, Census Tract 308, Bristol County, Rhode Island",150
"G44000100308004","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308004",,,"Block Group 4, Census Tract 308, Bristol County, Rhode Island",2565,"Block Group 4, Census Tract 308, Bristol County, Rhode Island",432
"G44000100309011","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309011",,,"Block Group 1, Census Tract 309.01, Bristol County, Rhode Island",2008,"Block Group 1, Census Tract 309.01, Bristol County, Rhode Island",326
"G44000100309012","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309012",,,"Block Group 2, Census Tract 309.01, Bristol County, Rhode Island",2453,"Block Group 2, Census Tract 309.01, Bristol County, Rhode Island",409
"G44000100309013","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309013",,,"Block Group 3, Census Tract 309.01, Bristol County, Rhode Island",1474,"Block Group 3, Census Tract 309.01, Bristol County, Rhode Island",295
"G44000100309021","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030902","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309021",,,"Block Group 1, Census Tract 309.02, Bristol County, Rhode Island",1022,"Block Group 1, Census Tract 309.02, Bristol County, Rhode Island",219
"G44000100309022","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030902","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309022",,,"Block Group 2, Census Tract 309.02, Bristol County, Rhode Island",1565,"Block Group 2, Census Tract 309.02, Bristol County, Rhode Island",295
"G44000100309023","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030902","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309023",,,"Block Group 3, Census Tract 309.02, Bristol County, Rhode Island",1327,"Block Group 3, Census Tract 309.02, Bristol County, Rhode Island",355
"G44000100309024","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030902","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309024",,,"Block Group 4, Census Tract 309.02, Bristol County, Rhode Island",2737,"Block Group 4, Census Tract 309.02, Bristol County, Rhode Island",485
"G44000300201011","2011-2015","RI",,,"Rhode Island","44","Kent County","003",,,"020101","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440030201011",,,"Block Group 1, Census Tract 201.01, Kent County, Rhode Island",2740,"Block Group 1, Census Tract 201.01, Kent County, Rhode Island",463
"G44000300201012","2011-2015","RI",,,"Rhode Island","44","Kent County","003",,,"020101","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440030201012",,,"Block Group 2, Census Tract 201.01, Kent County, Rhode Island",1151,"Block Group 2, Census Tract 201.01, Kent County, Rhode Island",280
"G44000300201013","2011-2015","RI",,,"Rhode Island","44","Kent County","003",,,"020101","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440030201013",,,"Block Group 3, Census Tract 201.01, Kent County, Rhode Island",2411,"Block Group 3, Census Tract 201.01, Kent County, Rhode Island",446
